smiles,refcode
Nc1ccc(I)cc1C1=Nc2ccccc2N1,XOWFOF
ClCc1ccc(CCl)c2ccccc12,YODLIN01
C1CC2Oc3ccccc3C3=NOC(=C23)C1,YORSEF
Nc1cc(ccc1Cl)N(=O)=O,YOVCAO
FC(F)(F)c1ccc(cc1)c1ncc(cn1)C1=CC=C(S1)C1=CC=C(S1)c1cnc(nc1)c1ccc(cc1)C(F)(F)F,YOXWEO
N#Cc1ccccc1C#N,YUYPUD02
BrC1=CC=C(S1)c1cncnc1C1=CC=C(Br)S1,ZOTRIL
Oc1ccc(F)cc1C1=CN2C=CC=CC2=N1,ZUNVOV
FC(F)(F)c1ccc(cc1)c1c2ccccc2c2c3ccccc3c3c4ccccc4c(c4ccc(cc4)C(F)(F)F)c4ccc1c2c34,ZUSXIW
Clc1cccc2cc3cccc(Cl)c3cc12,ZZZBLP03
N1C2=CC3=NC(=CC4=C5C=CC=CC5=C(N4)C=C4N=C(C=C1c1ccccc21)c1ccccc41)c1ccccc31,ZZZLKY01
Brc1c2ccccc2c(c2ccc(cc2)c2nc(nc(n2)c2ccccn2)c2ccccn2)c2ccccc12,SIBZOT
O=C1Nc2ccccc2C2=Nc3cccc4cccc(N12)c34,SIHPEG
Cc1cc(ccc1c1ccc(Cl)nc1)c1cnc(c(C)c1)c1cnc(c(C)c1)c1ccc(c(C)c1)c1ccc(Cl)nc1,TUBFED
Cc1cc(I)ccc1N,TITZUS
O=S1C(=CC2=C(C3C=CC12c1ccccc31)c1ccccc1)c1ccccc1,XAYDOS
Fc1c(I)c(F)c(c(F)c1I)c1c(F)c(I)c(F)c(I)c1F,YOZLAC
CC1=CC(=C(C)S1)C1=C(C(=O)C(F)(F)C1(F)F)c1c(C)cc(O)cc1C,ZOMQID
