smiles,refcode
CC1(C)CCCC2(CCC(=O)OC2)C1CO,CAGMEE
O=C1C=CC2CC3=CCCC13O2,CAJDIC
CC1(CC(C)(CC(C)(C1)N=C=O)N=C=O)N=C=O,CAKREM
CCCCCCCOc1ccc(cc1)N=Nc1c(C)c(C)c(N=Nc2ccc(OCCCCCCC)cc2)c(C)c1C,CAMWIY
COc1ccc2OC3(CCc4cccc(OC)c4O3)Cc2c1,CASGAF
Oc1ccccc1O,CATCOL13
COC(=O)c1ccc(O)cc1,CEBGOF03
COc1ccc(C=CC(=O)c2ccc(OC)c(OC)c2)cc1,CICMEH
COC(=O)C=CC1CN(C(=O)N1C(C)(C)C)C(C)(C)C,CIFLUZ
OC(=O)C=Cc1ccccc1,CINMAC07
CC(C)(C)OC#CC#COC(C)(C)C,CITQAY
O=C1NC(Cc2ccccc2)C(=O)N2CCCC12,CITXAE11
CCCCCCC#Cc1c2cc3ccccc3cc2c(C#CCCCCCC)c2cc3ccccc3cc12,CIZCIY
Cc1cccc(C)c1OC(=O)N1C=CN=C1,CIZXUF
COC(=O)C12C(CCCC1=NNc1ccc(cc1N(=O)=O)N(=O)=O)C2=C=C,COHYEE
CC12CC3CCC1C3(O)OC2=O,COQZEO
CC(C)(C)OC(=O)C1CC(=NN1N=O)c1ccccc1,COSKOL
O=C1Oc2ccccc2C=C1,COUMAR11
O=N(=O)C1=NN(CC#N)N=N1,COXXOD
COc1ccc(O)c(C=NC(C)c2ccccc2)c1,CUCVEC
CC(=NO)C(=O)NN=Cc1ccccn1,CUDBEJ
c1ccc(cc1)C1=Cc2nc3ccccc3nc2C2=C(N=NN12)c1ccccc1,CUNDAR
OC(=O)c1ccc2C(=O)N(c3ccncc3)C(=O)c2c1,CUNWIS
CC1(C)C2(C)CCC1(OC2=O)C(=O)OC1C2OC3OC(C2O)C(O)C1O3,CUTWAQ
COC1OC2CC1C(C2)N(=O)=O,CUZXAX
OC(=O)C1CCCCC1C(O)=O,CYHCAC11
CN1C(=O)C2C(NC(C)=O)C=C(C)C(CC=C(C)C)C2C1=O,DACWIP
ON=C1CCCC21CCCC2=NO,DAFSUZ
C1CCN(CC1)CCN1CCCCC1,DAGLII
C1CCN(C1)CCN1CCCC1,DAGLOO
CCOC(=O)C1NC1C(=O)NCC(=O)NCC(=O)OCc1ccccc1,DAKCOI
COc1ccc(cc1)C=C1N(C)C(=O)c2ccccc12,DAKYOE
CC(=O)OC1C2OC(OC2O)C2(CCCCC12OC(C)=O)OC(C)=O,DAPSIX
OC1C(O)C2(O)CCCCC32COC1O3,DAPTEU
CC1(C)OCC2(OCC3OC(C)(C)OC3C2OCc2ccccc2)O1,DAXJES
CC(C)C(OC(=O)c1ccc(cc1)N(=O)=O)C1=C(C)CC2C1C2(C)C,DAXJIW
N(N=Nc1ccccc1)c1ccccc1,DAZABZ02
CCOC(=O)C1=COC=C1C(O)=O,DEGMEI
CCC(=O)C=CC(O)=CC(=O)OC,DEQZUV
COc1ccc(C=Nc2ccc(cc2)N=Cc2ccc(OC)c(OC)c2)cc1OC,DEWSUU
COc1ccc(cc1)C1NC2C(Cc3ccccc23)O1,DEXSIJ
CC(=N)NC(C)(C)C,DIBMIL
CC(C=C(C)c1ccccc1)C(=O)N1C(COC1=O)c1ccccc1,DIFVAQ
CC12CC3CC4CCC(=O)C=C4CC3CC1CCC2O,DIGRIV
COC(=O)C1CC2(C)N(C)C1(C)C(=O)NC2=C,DIGVUL
CCC(=O)C1(CC)NC(=O)C2(C)CC1C(=O)N2C,DIGWAS
CC(C)NC(O)=C(C#N)C(N)=O,DIJHIO
OC1(c2ccccc2)c2ccccc2C(O)(c2ccccc2)c2ccccc12,DIKCOP01
Oc1ccccc1C=NCCCCCN=Cc1ccccc1O,DIKXAX
OC(=O)c1c[n+]cc(c1)C(=O)[O-],DINICA11
CN1N=NC2=C(N=CN2C1=O)C(N)=O,DIPGIS12
Cc1cccc(NC(=O)COc2ccc3ccc(O)cc3c2)n1,DIWPUV
CC1(C)CC(=NO)C(C)(C)C(C1)=NO,DIXLIF
CC1(C)CC(=O)C2=C(C1)N(C(=O)C(=C2)C(N)=O)c1ccccc1,DIYQEI
CN1N=NN(N)C1=N,DIZTOW
COC(=O)C(=O)OC,DMEOXA06
O=N(=O)c1cccc(c1)N(=O)=O,DNBENZ11
COc1ccc(CN2C(NC(C)=O)C(O)CCC2=O)cc1,DOCCUU
COc1ccc(CN2C(NC(=O)C(C)C)C(O)CCC2=O)cc1,DOCDAB
C(CCN1N=CN=N1)CN1C=NC(=N1)c1ccccn1,DOKQAW
C(CCN1C=NN=N1)CN1C=CN=N1,DOKQIE
ONC(=O)c1cccc(n1)C(=O)NO,DOMQUS
CC(=O)Nc1cccc(NC(C)=O)n1,DOPDAN01
COc1cccc(C=CC2OC(C)C(O)C2O)c1CO,DORKAX
CC1(C)CCC(C2CCC(C)(C)CC2=O)C(=O)C1,DOSCUK
CC1(C)CC(C2CCCCC2=O)C(=O)C=C1,DOSDEV
[N]=N=C(c1ccc(cc1)c1ccccc1)c1ccccc1C1OCCO1,DOYLEJ
C1CC=C2CCN(Cc3ccccc3)C2C1,DOYNIP
CCCC,DUCKOB04
CC(=O)Oc1ccc(cc1)C=Cc1ccc(OC(C)=O)cc1,DUDFIS
Cc1ccc(NCC(=O)NN)cc1,DUDGIT
C1CO1,DUFBOV11
OC(=O)c1cccc2CCCCc12,DUJKUP
CCOC(=O)C(=NOC)C(=O)c1ccc(cc1)N(=O)=O,DUNQOT
Nc1ccc(cc1)C(=O)OCCCOC(=O)c1ccc(N)cc1,DUSLIN
COc1ccc(C=CC(=O)c2ccc(cc2)N2CCCCC2)cc1,DUSWAQ
COc1cc(OC)c(C=NC2=C(C)C(=NO2)C)cc1OC,DUTBAW
CC1=CC(=O)N2C(=NC(=NC2=N1)C)N,DUTHEG
C1Cc2ccc(CCc3ccc1cc3)cc2,DXYLEN13
