Nc1c(Cl)cc(cc1N(=O)=O)N(=O)=O	UCECAG02
Brc1c(I)c(Br)c(I)c(Br)c1I	UCENOG01
Clc1c(I)c(Cl)c(I)c(Cl)c1I	UCEPAU
Brc1cc(Br)c(N=[N+]=[N-])c(Br)c1	UKIXAO
Brc1cnc(nc1)c1ccccc1	ULAQAZ
S=C1CCCC2=C1c1ccccc1N2	UNOXEB
Clc1cc(Cl)c(N=[N+]=[N-])c(Cl)c1	UKIWOB
Brc1ccc(cc1)N(=O)=O	ULEBOD
CN1C=C(c2ccccc12)C1(O)C(=O)Nc2ccc(Br)cc12	SUKTEY
Clc1cc(C#N)c(cc1Cl)C#N	TAGVEC02
Oc1c(Cl)c(Cl)c(O)c(C#N)c1C#N	TAHFIR
CC1=NC2=CC(=NN2C2=C1CCC2)c1ccc(Cl)cc1	TAQBUJ
Fc1c(I)c(F)c(I)c(F)c1I	UCEPEY01
Fc1c(F)c(c(F)c(F)c1C#N)c1ccc(Br)cc1	UHUHUC
Ic1nc2ccccc2c(I)c1c1ccccc1	UYOVOU
Clc1ccc2Nc3cc4c(Nc5ccc(Cl)cc45)cc3c2c1	VARNAF
Clc1c(Cl)c(Cl)c2C3CC(C4C5CCC(CC5)C34)c2c1Cl	WAMJAV
Fc1ccc(cc1)c1cc2ccccc2c2ccc3ccccc3c12	SULCEJ
Oc1cc(Cl)c(O)c(c1Cl)c1ccc(Cl)cc1	WOLWOK
OC12CCCC(CC(=N1)c1ccccc1)C2	WULTED
Clc1ccc2ccccc2c1c1ncccn1	WULZAF
S1C(=CC2=C(C3c4ccccc4C12c1ccccc31)c1ccccc1)c1ccccc1	XAYBOQ
FC(F)(F)c1ccc(cc1)C1=CC2=C(C3c4ccccc4C2(S1)c1ccccc31)c1ccc(cc1)C(F)(F)F	XAYCEH
Cc1c(C)c2OC(=O)CCc2c2CCC(=O)Oc12	XEBPEB
Fc1ccc(F)c2c1ccc1ccc3ccccc3c21	XIPMEP
OC1C=Cc2c(ccc3ccc4c(F)ccc(F)c4c23)C1O	XIPMIT
Clc1ccc(cc1)C1=NN(c2ccccc2)c2c3cc(Br)ccc3nc(c3ccccc3)c12	XUCPIW
O=C1OCCCOC(=O)C(CC=CCC1c1ccccc1)c1ccccc1	XUFKUG
N#Cc1nc2Nc3ccccc3N(c3ccccc3)c2nc1C#N	XUJZEJ
Clc1ccc(cc1Cl)c1cc(c2ccccc2)c2ccc3ccccc3c2n1	YAFYIP
Brc1ccccc1N(=O)=O	YAQZUM
BrC(Br)(Br)c1ccc(cc1)C(Br)(Br)Br	YADKUL
O=C1C(Oc2ccccc12)c1ccccc1	YIHFOL
Clc1c(Cl)c2c3c(Cl)c(Cl)c4C(=O)NC(=O)c5c(Cl)c(Cl)c(c6c(Cl)c(Cl)c7C(=O)NC(=O)c1c7c26)c3c45	SULREX
BrC(Br)=C1C(=C(c2ccccc2)C(=C1c1ccccc1)c1ccccc1)c1ccccc1	TIKFAW01
Fc1ccc(cc1)N1C(=O)C2C3C=CC(C2C1=O)C3=C(c1ccccc1)c1ccccc1	TUTXIQ
Fc1cc(F)c(N2C(=O)C3C4C=CC(C3C2=O)C4=C(c2ccccc2)c2ccccc2)c(F)c1	TUTYAJ
