Cc1cc(Br)ccc1N	ABRTOL
FC(F)(F)c1ccc2ccc3ccc(nc3c2n1)C(F)(F)F	IPUPUE01
Oc1cc(Cl)c(c(Cl)c1)N(=O)=O	IRUYEA
Clc1ccc(Cl)c(c1)c1c(Cl)ccc(Cl)c1Cl	IRUYIE
Clc1ccc(cc1)C(=C1C=CC=C1)c1ccc(Cl)cc1	ISEDAM
Brc1ccc(cc1)C(=C1C=CC=C1)c1ccc(Br)cc1	ISEDEQ
Fc1ccc2C3CCc4cc(F)ccc4C3CCc2c1	JAPYEF
CN1CCN(C)c2c(Br)c(F)c(F)c(Br)c12	JIMTUV
CN1N=C(Cl)c2cc(Cl)ccc12	JODKOE
Sc1ccccc1	JUJPEL
Nc1c(cc(c(c1N(=O)=O)C(F)(F)F)N(=O)=O)N(=O)=O	JUPRUH
Nc1c(cc(c(Br)c1N(=O)=O)N(=O)=O)N(=O)=O	JUPSOC
Brc1ccc(cc1)C1=C(C=CS1)N(=O)=O	KAKMIU
Fc1c(F)c(F)c(c(F)c1F)C1=CSC(=N1)C1=NC(=CS1)c1c(F)c(F)c(F)c(F)c1F	KETVUC
Cc1cc2CCC(=O)c2c(C)c1Br	KICKAK
FC(F)(F)C1=C2c3nc(nc4ccc5nc(nc(c5c34)C2=C(O1)C(F)(F)F)C(F)(F)F)C(F)(F)F	KILSAB
FC(F)(F)C1=C2c3nc(nc4c5N6C=CC=CC6=C(c5c5nc(nc(C2=C(O1)C(F)(F)F)c5c34)C(F)(F)F)C(F)(F)F)C(F)(F)F	KILSOP
CC1=Nc2c(Br)cc(Br)cc2C1(C)C	KOFRII
Clc1ccc2C(=O)C(=COc2c1)C=O	KOJCIX
FC(F)(F)c1ccc(cc1)C1=C2C=CC=CC2=C(O1)C1=C2C=CC=CC2=C(O1)c1ccc(cc1)C(F)(F)F	KOKMIH
Fc1c(F)c(F)c(N2C(=O)c3cc(Cl)c4c5c(Cl)cc6C(=O)N(C(=O)c7cc(Cl)c(c8c(Cl)cc(C2=O)c3c48)c5c67)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F	KUCGUL
Fc1ccc2CCCC(=C(Br)c2c1)C=O	KUDSEI
Fc1cc(F)c(cc1N(=O)=O)N(=O)=O	KUMSOA
Nc1ccc(F)c(Cl)c1	KUMTER
Fc1c(F)c(F)c(N#[C])c(F)c1F	KUMXOF
