CC(=O)NCCNC(=O)C	ABAWEG01
OC1COc2c(C1c1ccccc1)c1ccccc1cc2	BEWPAV
Fc1c(C#Cc2c(F)c(F)c(c(c2F)F)F)c(F)c(c(c1F)C#Cc1c(F)c(F)c(c(c1F)F)F)F	BEWZEJ
CCC12CCC(NC1=O)(NC2=O)C	BEXMIB
CC(CC12CCC(NC1=O)(NC2=O)C)C	BEXMOH
O=C1NC2(CCC1C(=O)N2)c1ccccc1	BEXMUN
O=C1NC2(CCC1(Cc1ccccc1)C(=O)N2)c1ccccc1	BEXNEY
O=C1NC2(C)CCC1C(=O)N2	BEXNIC
N#CC1=C2CCC(=O)N2CCc2c1cc1OCOc1c2	BEXXUY
N#CC1=C2CCCN2CCc2c1cc1OCOc1c2	BEXYAF
CC1OC(=O)C(OC1=O)C	BEYDEO01
OCC[NH+](CC(=O)[O-])CCO	BICINE01
CC1OC(=O)C(OC1=O)C	BICVIS02
NC(=O)OC(C)(C)C	BIFPEL01
COc1ccc(cc1)C1CC(=O)CC(=C(C)C)C(=C(C)C)C1	BIJYID
COC(=O)C=CC1C2CCC3C1(C)CCCC(C23)(C)C	BIVLEY
OC(=O)CCN1Cc2c(C1=O)cccc2	BIWWIO
OCC1OC(O)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)O	BLACTO02
Fc1c(C2CC3CC(CC4C3C(C2)CC(C4)c2c(F)c(F)c(c(c2F)F)F)c2c(F)c(F)c(c(c2F)F)F)c(F)c(c(c1F)F)F	BOFJIR
O=C1CC(C)(C)Oc2c1ccc1c2[nH]c2c1cccc2	BOGTEX
Cc1ccc2c(c1)[nH]c1c2ccc2c1OC(C)(C)CC2=O	BOGTIB
O=C1CC(C)(C)Oc2c1ccc1c2[nH]c2c1cccc2C	BOGTOH
O=Cc1cc2c(cc1O)C(=O)c1c(C2=O)cccc1	BOGWEA
[N-]=[N+]=NC(C(C1OC(C2C1(O)C(O)CO2)OC)O)C(=O)OC	BOKSIE
Oc1c(I)c(O)c(c(c1I)O)I	BOLNAS01
Ic1cc(I)c(c(c1)I)O	BOLNEW
CNC(=O)C(C#N)O	BOLZIL
Cc1ccc(cc1)NC(=Nc1ccc(cc1)C)n1cnc(c1C)C	BORSUX
CC(NC(=NC(C)C)n1c(C)nc(c1C)C)C	BORTOS
COC1(CC(=O)c2ccccc2)OC(=O)C(=C1c1ccccc1)O	BOSJID
OC(=O)c1c(Br)c(C(=O)O)c(c(c1Br)N)Br.OC(=O)c1c(Br)c(C(=O)O)c(c(c1Br)N)Br.OC(=O)c1c(Br)c(C(=O)O)c(c(c1Br)N)Br.OC(=O)c1c(Br)c(C(=O)O)c(c(c1Br)N)Br	BOTVUC
[N-]=[N+]=NC(c1cc(c(cc1C(N=[N+]=[N-])N=[N+]=[N-])C(N=[N+]=[N-])N=[N+]=[N-])C(N=[N+]=[N-])N=[N+]=[N-])N=[N+]=[N-]	BOTWAJ
OC(=O)c1c(cccc1C(F)(F)F)C(F)(F)F.OC(=O)c1c(cccc1C(F)(F)F)C(F)(F)F.OC(=O)c1c(cccc1C(F)(F)F)C(F)(F)F.OC(=O)c1c(cccc1C(F)(F)F)C(F)(F)F.OC(=O)c1c(cccc1C(F)(F)F)C(F)(F)F	BOVCEV01
N#CC1=C(N)Oc2c(C1c1ccccc1)c(C)[nH]n2	BOYZUL
Cn1nc(c(c1)N(=O)=O)C(=O)O	BOZGED
CC(=O)OC1C2NC(C(C1OC(=O)C)OC(=O)C)CC(C(C2)O)O	BOZZAS
O=C(c1ccccc1)c1ccccc1	BPHENO12
OC(=O)c1cc(Br)c(c(c1)Br)N.OC(=O)c1cc(Br)c(c(c1)Br)N	BRABZA01
O=Cc1cc2c(c(c1CC=C(C)C)OC)[nH]c1c2cccc1	BUDWIH
c1ccc(cc1)NC1N(c2ccccc2)C2N(C1N(c1ccccc1)C1N(C2N(C1Nc1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1	BUFKAP
Cc1ccc2c(c1)N1CN3CN2CN(C1)c1c3cc(cc1)C	BUFNAS
O=c1oc2c([nH]1)cccc2	BZOXZO01
Nc1c(F)c(F)c(c(c1F)F)N	CAFVAG
OCC1C2(CCCC1(C)C)CCC(=O)OC2	CAGMEE
CCC1OC(=O)c2c1ccc1c2occ1	CAHYAN
O=C1C=CC2OC31CCC=C3C2	CAJDIC
Brc1ccc(c(c1)Br)N	CAJWEQ
O=C=NC1(C)CC(C)(N=C=O)CC(C1)(C)N=C=O	CAKREM
O=C1NC2(C)CC(CC(N1)(C2)C)(C)N	CAKRIQ
Ic1ccc(c(c1)N(=O)=O)N.Ic1ccc(c(c1)N(=O)=O)N	CAMSOZ
O=N(=O)c1c(I)ccc(c1I)N	CAMSUF
CCCCCCCOc1ccc(cc1)N=Nc1c(C)c(C)c(c(c1C)C)N=Nc1ccc(cc1)OCCCCCCC	CAMWIY
COc1ccc2c(c1)CC1(O2)CCc2c(O1)c(OC)ccc2	CASGAF
Oc1ccccc1O	CATCOL13
O=c1ccc2c(o1)c(F)ccc2	CAXPUN
O=c1ccc2c(o1)ccc(c2F)F	CAXQAU
O=c1ccc2c(o1)ccc(c2F)C	CAXQEY
COC(=O)c1ccc(cc1)O	CEBGOF03
BrC1=CC=C(S1(=O)=O)C1=CC=C(S1(=O)=O)C1=CC=C(S1(=O)=O)Br	CEFFOJ
OC=C1C(=O)Cc2c(c3c1cccc3)cccc2	CEVMEW
ClC1CC(OC(C1)c1ccc(cc1)Cl)c1ccc(cc1)Cl.ClC1CC(OC(C1)c1ccc(cc1)Cl)c1ccc(cc1)Cl	CEWWOR
COc1ccc(cc1)C=CC(=O)c1ccc(c(c1)OC)OC	CICMEH
COC(=O)C=CC1CN(C(=O)N1C(C)(C)C)C(C)(C)C	CIFLUZ
OC(=O)C=Cc1ccccc1	CINMAC07
N#CC(C(=O)OC(C)(C)C)(c1ccccc1)Nc1ccccc1	CIPMOE
CC(OC#CC#COC(C)(C)C)(C)C	CITQAY
O=C1NC(Cc2ccccc2)C(=O)N2C1CCC2	CITXAE11
N#CC12c3ccc4C2(C#N)c(ccc1ccc3)ccc4	CIXJUP
Ic1c(cccc1c1cc(C)cc(c1)C)c1cc(C)cc(c1)C	CIYRAF
CCCCCCC#Cc1c2cc3ccccc3cc2c(c2c1cc1ccccc1c2)C#CCCCCCC	CIZCIY
Cc1cccc(c1OC(=O)n1cncc1)C	CIZXUF
OC(=O)c1ccc(cc1)Cl	CLBZAP03
Nc1ccc(c(c1)Cl)c1ccc(cc1Cl)N	CLBZI
O=N(=O)c1ccc(c(c1)Cl)N	CLONAN
Fc1ccc(cc1)c1ccc(s1)c1ccc(s1)c1ccc(cc1)F	COBDAA
COC(=O)C12C(=NNc3ccc(cc3N(=O)=O)N(=O)=O)CCCC1C2=C=C	COHYEE
O=C1OC2(C3C1(C)CC2CC3)O	COQZEO
O=NN1N=C(CC1C(=O)OC(C)(C)C)c1ccccc1	COSKOL
O=c1ccc2c(o1)cccc2	COUMAR11
Fc1cccc(c1)C(=O)O	COVJIG01
N#CCn1nnc(n1)N(=O)=O	COXXOD
O=Cc1cc2CCCN3c2c(c1)CCC3	CUBNOD
COc1ccc(c(c1)C=NC(c1ccccc1)C)O	CUCVEC
ON=C(C(=O)NN=Cc1ccccn1)C	CUDBEJ
c1ccc(cc1)c1cc2nc3ccccc3nc2c2n1nnc2c1ccccc1	CUNDAR
O=C1N(c2ccncc2)C(=O)c2c1cc(cc2)C(=O)O	CUNWIS
CC1CCC2(C(O1)CC(C=C2)O)O	CUQJOO
