CC(=O)NCCNC(=O)C	ABAWEG01
Brc1ccc(cc1)c1nnc([se]1)c1ccco1	FOYGEG
OC(=O)c1ccco1	FRANAC04
OOC(c1ccncc1)(C)C	FUBWAB
OC1C2OC(OC2OC1C(=O)C1CC2CC1C=C2)(C)C	FUBZAE
N#CCc1ccccc1CC#N	FUGWOU
Clc1ccc(cc1Cl)c1ccc(c(c1)Cl)Cl	FUHDAN01
CCOC(=O)C(n1nc(cc1C)C)n1nc(cc1C)C	FUHZAK
Cc1ncc[nH]1	FULPIM
OC1CCCCc2ccc(Oc3cc(CC1)ccc3O)cc2	FUMFUP
CC(C(=O)c1ccc(cc1)OCc1ccccc1)c1ccccc1	FUNZAQ
COc1cc(CC=CCc2cc(OC)c(c(c2)C=O)O)cc(c1O)C=O	FUPTOA
O=Cc1cccc(c1O)CC=CCc1cccc(c1O)C=O	FUPTUG
CC(COc1cccc(c1)Nc1ccccn1)C	FUTCED
O=C(Nc1ccccc1)Nc1ccc(cc1)N(=O)=O	FUWJAJ
C1C2CC3C4=C(C1CC(C2)C3)C1CC2CC4CC(C1)C2	FUWMUF01
Clc1cccc2c1cc1c(Cl)cccc1c2c1ccccc1.Clc1cccc2c1cc1c(Cl)cccc1c2c1ccccc1.ClCCl	FUXDUY
CC(c1ccccc1)Nc1ccc(cn1)N(=O)=O	FUXZIH01
Clc1ccc(c(c1)c1nc2c([nH]1)cccc2)N	FUZGEN
OC(=O)c1cccc(c1N)Br	FUZHUE
CC(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)C	FUZMET
CC(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)C	FUZMET01
C1=CC2C(O1)OC1C2C=CO1	GACGAU
C1=CC2C(O1)OC1C2C2C=COC2O1	GACGEY
C1=CC2C(O1)OC1C2C2C(O1)OC1C2C=CO1	GACGIC
C1=CC2C(O1)OC1C2C2C(O1)OC1C2C2C=COC2O1	GACGOI
C1=CC2C(O1)OC1C2C2C(O1)OC1C2C2C(O1)OC1C2C=CO1	GACGUO
C1=CC2C(O1)OC1C2C2C(O1)OC1C2C2C(O1)OC1C2C2C(O1)OC1C2C=CO1	GACHEZ
C=CC1(C)COC(=O)C21OC(=CC2=O)c1ccccc1	GAKPUE
CCOc1ccc(cc1)N(=O)=O	GAKQEP
COc1ccc(cc1)C(=O)C1CCC(=O)CC1(O)c1ccncc1	GANMEO
Cc1ccc2c(c1)C(=O)C1(C(=N2)N(CC1)c1ccccc1)O	GANSUK
c1ccc(cc1)c1nc2CCCCc2c(c1)c1ncccn1	GANVOH
Brc1ccc(cc1)c1cc(nc(c1)c1nccc(c1)C)c1nccc(c1)C	GEDDAV
O=C1Cc2c1c1C(=O)Cc1c1c2c(=O)c1=O	GEFBAV
c1ccc(cc1)c1c2cccc3c4c(c(c23)c2c1c1c3ccccc3c3c1c(c2c1ccccc1)ccc3)cccc4	GEGQUF
CC1=C(C)SC(=C2c3cc(I)ccc3c3c2cc(I)cc3)S1	GEGYEX
O=C1C(=O)Nc2c1cccc2C(F)(F)F	GEHSIW
NC(=O)Cn1cc(C)c(=O)[nH]c1=O	GEHVOF
O=C1O[I]2c3c1cccc3C(=O)O2	GEHYEZ
OC(=O)c1ccc2c(c1)C(=O)CC2	GEJCUU
CC(=O)C(C(=O)C)Cc1ccc(cc1)CC(C(=O)C)C(=O)C	GEJDAB01
CC(=O)CCC1C(=O)C=C2C1(C)CCCC2(C)C	GEKDAC
Brc1ccc(cc1)c1ccc(c2c1C(=O)c1c(C2=O)cccc1)c1ccc(cc1)Br	GESTII
N#Cc1c(C#N)c(F)c(c(c1F)F)F	GEYLOL01
N#Cc1nc(c2ccc(cc2)Br)c(nc1C#N)c1ccc(cc1)Br	GIHPUJ
O=C1OCCCOC(=O)c2ccc(cc2)C(=O)OCCCOC(=O)c2ccc1cc2	GILGAK
Cc1cnc2c(c1)c(CC(C)(C)C)c(n2C)c1ccccc1	GILXUV
C(CN(Cc1ccccn1)Cc1ccccn1)CCN(Cc1ccccn1)Cc1ccccn1	GIMTEC
Oc1ccc(c(c1)O)C(=O)C	GINCAI01
Clc1ccc2c(c1)nc(cn2)c1ccccc1	GIQVAF
Cc1nc(N)nc(c1)c1ccncc1	GIRNOL
Nc1ccc(cn1)C#Cc1cccnc1	GIRPED
Brc1ccc2c(c1)c(c1cc(sc1C)C)c(c1c2ccc(c1)Br)c1cc(sc1C)C	GISFUL
O=C(Nc1ccccc1)Oc1ccc(cc1)N(=O)=O	GISTAE
OCC1OC(O)C(C(C1O)O)O	GLUCSE02
[O-]C(=O)C[NH3+]	GLYCIN69
[O-]C(=O)CNC(=O)C[NH3+]	GLYGLY19
Cc1ccc(cc1)Oc1cnc2c(n1)cccc2	GOFVON
Fc1c(C#Cc2ccccc2C#Cc2ccc3c(n2)cccc3)c(I)c(c(c1F)F)F.Fc1c(C#Cc2ccccc2C#Cc2ccc3c(n2)cccc3)c(I)c(c(c1F)F)F	GOGTAZ
Fc1c(C#Cc2ccccc2C#Cc2ccc3c(n2)cccc3)c(Br)c(c(c1F)F)F	GOHBEM
Fc1ccc(cc1F)c1cnc2c(n1)cccc2	GOLNEC
Clc1cnc2c(n1)cccc2	GOLYAI
[N-]=[N+]=Nc1ccccc1c1ccccc1	GOVZUM01
COc1cccc2c1C(=C)CC2O	GUCJUK
CC1CC(O)C(C(C1C(=O)c1ccccc1)(O)c1ccccc1)N(=O)=O	GUCNIC
COC(=O)C(=C([C-]1C(=O)COC1=O)C(=O)OC)[n+]1ccccc1	GUGJUO
CCOC(=O)Cc1nnnn1CCNC(=O)OC(C)(C)C	GUGKAV
CC1=Cc2cc(C)c(c(c2CCC1)C)CCC1=CCOC1=O	GUGZOY
COC(=O)C1C(C21C(=O)CC(CC2=O)(C)C)C(=O)OC	GUHCUI
Fc1c(N)c(F)c(c2c1nc1c(n2)c(F)c(c(c1F)F)F)F	GUHFIZ
c1nc2ccc3c4c2c(n1)ccc4c1c2c3ccc3c2c(cc1)ncn3	GUSKEL
C1C2CC34C5C61CC1CC75C5C8(C6C6(C2)C4C5(CC(C3)C7)CC(C6)C8)C1	GUTCED
COC(=O)C1(CC2C(C1)C(=C(C2c1ccccc1)C)C)C(=O)OC	GUVNOB
COCCCN1C(=O)c2cccc3c2c(C1=O)ccc3	GUWDUX
O=C(C1C2CCC1C2(c1ccccc1)c1ccccn1)c1ccccc1	HADLOO
COC(=O)C1=C(C(=O)OC)C2(c3c(C1c1ccccc21)cccc3)c1ccccc1	HADMAA01
Brc1cc(Br)c2c(c1)cc(cn2)c1ccccc1N	HADPEJ
Brc1ccc2c(c1)c1c(n2)n(c2c(c1)cccc2)C	HADPOT
COc1ccc(c(c1)C=Nc1c(=O)n(n(c1C)C)c1ccccc1)O	HAHTAN
Cc1cc(C)c2c3c1ccc1c3c(cc2)c(cc1C)C	HAJJOT
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)C#Cc1ccccc1)C#Cc1ccccc1	HAKPAL
CCCCCCC1=NNc2c(C1)cccc2	HALSOE
c1ccn2c(n1)ncn2	HAMGOT
O=C(c1cc2ccccc2oc1=O)NC1CCCCC1	HAMVEX
Brc1cc(Br)c2c(c1)cc(c(n2)N)c1ccccc1N(=O)=O	HAQVIG
O=c1c2ccccc2n2c3c1CCCn3c1c(c2=O)cccc1	HAZKEZ
FC(c1c(oc2c1c1ccccc1cc2)c1cc2ccccc2c2c1cccc2)(F)F	HEJROF
Cc1cc(O)c2c(c1)cc(c(c2O)C(=O)C)C	HEKWAV01
CCCCNc1cc(cc([n+]1[O-])C)N(=O)=O	HENCEJ
CCCCCCC	HEPTAN02
Oc1ccccc1C(=Nc1ccccc1C1=NC(CO1)(C)C)c1ccccc1	HERMAT
CC(CN1CCN(CCNCCN(CC1)CC(O)C)CC(O)C)O	HESKUM
N#CCCC12CCCCC2(O)CC(=O)CC1	HEWSIM
CCCCCC	HEXANE01
N#CC(=Cc1ccc(cc1)C)C(=O)OC	HEXXEO
N#CCCCCCNC(=O)NCCCCCC#N	HEZSUA
OC1C2OC2C(C)(C)CC2C(CCC3C1(C)O3)(O2)C	HIBBOK
C1CNc2c(N1)cccc2	HIFCIJ
Cc1ccc(cc1)C=C1C=Cc2c1cccc2	HIHBAC
O=c1oc2c(o1)cccc2	HIRSUX
COC(=O)C1(CC2=Cc3c(C(C2C1)(C)C)cc(cc3)N(=O)=O)C(=O)OC	HIXDOI
O=C1OC2CCC1C1C2COC1	HIXJEE
OC1COC(C2C1OC(O2)(C)C)OCc1ccccc1	HIYRUD
O=N(=O)[N-][n+]1cc[nH]n1	HIZTEQ
CN(N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O	HOBZEE
O=C1OC2CCCCC2(C(=C1)C)C(=O)OC(C)(C)C	HOCSOI
Cc1ccc2c(c1)c1CCCCC(=O)c1[nH]2	HODFAI
O=N(=O)c1nccn1CCOCCOCCn1ccnc1N(=O)=O	HODWAZ
CCCC1(C#N)CCc2c(N1C(c1ccccc1)C)cccc2	HOJVAE
CC(=O)c1ccc(cc1)C#CC#Cc1ccc(cc1)C(=O)C	HOJVIM
CCC(=O)c1ccc(cc1)C#CC#Cc1ccc(cc1)C(=O)CC	HOJVOS
OC(=O)c1ccc(c(c1)Br)N.OC(=O)c1ccc(c(c1)Br)N	HOLTAE
Clc1cc(Cl)c(c(c1)c1cc(Cl)cc(c1S)Cl)S	HOMPOP
N#Cc1cccc(c1)c1ccc(c(c1)O)I	HONMEE
c1ccc(cc1)CN1Cc2ccccc2N2C1c1ccccc1CC2	HOPNIK
O=C(c1ccccc1C(=O)O)OCCCCOC(=O)c1ccccc1C(=O)O	HOQXER
Nn1cccn1	HOYMAJ
Brc1cccc2c1c(Br)c1c(c2)cccc1Br	HOYWIB
CC(=CC=CC=C(C=CC=C(C#CC1=C(C)C(=O)C(CC1(C)C)O)C)C)C=CC=C(C#CC1=C(C)C(=O)C(CC1(C)C)O)C	HOYYEA
Nc1nc2ccccc2c(n1)C	HUCBIR
Ic1ccc(c(c1)I)N	HUCWUY
O=C1CNC(N1O)(C)c1ccccn1	HUCZEL
CCOc1ccc(cc1)C1C(=C(C)NC(=C1C(=O)OC)C)C(=O)OC	HUDHEU
N#Cc1cnc2c(n1)cccc2	HUDZAI
NNC(=O)COc1ccccc1	HUFDOC
c1ccc2c(c3cc4ccc5c(c4cc3OC2)c2c(cc5)ccc3c2cc2OCc4c(c2c3)cccc4)c1	HUGZOZ
COC(=O)COC(=O)c1ccc2c(c1)oc(c2O)C(=O)OC	HULKII
O=C1OCC2(C1(O)C1CC34C2(CCC4C)OC(=O)C3(O1)O)C	HUNNOU01
O=C1OCC(C(=C1)C(=O)O)(C)C	HUXJOZ
COc1cc2ccc(=O)oc2cc1O	HXMCOU01
CC1=CC(C(=C1C)C)(C)C1(C)C=C(C(=C1C)C)C	IBINAI01
Nc1ccccc1F	IDAHOL
Nc1ccc(cc1)F	IDAHUR
C1CCc2c(C1)c1c(cc2)ccc2c1c1CCCCc1cc2	IDAKII
O=C1OCCCCCCCCCCC#Cc2cc1ccc2	IDOPUM
c1cc2nc(c1)Cn1cc(c3c1cccc3)C=Cc1cn(C2)c2ccccc12	IDUKIC
O=C(C1CC(C1)(C)c1ccccc1)c1oc2c(c1)c1ccccc1cc2	IDUNIF
Clc1cc2nc(c3ccccc3)c(nc2cc1Cl)c1ccccc1	IFABOH
CCC1C2OC(=O)C(C2C2C3C1CCCCN3CC2)C	IFEBOL
FC(c1ccc(cc1)c1ccccc1c1ccccc1c1ccccc1c1ccccc1c1ccc(cc1)C(F)(F)F)(F)F	IFIKOZ
Oc1ccccc1c1cccc(c1N)Br	IFIMAN
CN(C(C(c1ccccc1)O)C)Cc1cccnc1	IFOQIE
N#Cc1ccc(cc1)Cn1cc(c2c1cccc2)C=C1N2CCC(C1=O)CC2	IFUNON
ON=C(c1ccc(cc1)N)C	IGABOI
Fc1cc(F)c(c(c1)F)N	IGAPUC
Nc1ccccc1Cl	IGEHEI
Nc1ccccc1Br	IGEHIM
CON(C(=O)N)OC(=O)C	IHANOV
Oc1c(oc2c(c1=O)cccc2)c1ccco1	IJUCEW
Oc1ccccc1C1(C2CC3CC1CC(C2)C3)n1cncc1	IJUYUI
NNc1nc2ccccc2c2c1ncn2CC(C)C	IKABIG
COC(=O)C(C(c1ccccc1)C#N)(c1ccccc1)C	IKADAZ
Clc1ccc(c(c1)Cl)C1CC(=NN1c1ccccc1)c1c(=O)oc2c(c1O)cccc2	IKAHAE
OC1OC23C4C1C1C2C(C4CC1)OC13CC2CCC1C=C2	IKUZOE
CCCCNC1=CC(=C2C(=C(O)C=C(C2=O)NCCCC)C1=O)O	ILISEB
Cc1cc([N+]#[C-])c(cc1[N+]#[C-])C	IMIJUJ
O=C(c1ccccc1)OCC[N+](=[N+](CCOC(=O)c1ccccc1)[O-])[O-]	IMURIS
OC(=O)Cc1c[nH]c2c1cccc2	INACET04
Oc1cc(F)c(c(c1c1c(O)cc(c(c1F)F)F)F)F	INOKIG
ON(C(C)(C)C)c1cccc(n1)c1cccc(n1)N(C(C)(C)C)O	IPIGEU
COc1cc2C(=O)c3ccccc3C(=O)c2c(c1C(=O)OC(C)(C)C)C(=O)O	IPOJIH
O=C(c1c(O)cc2c(c1C)C(=O)c1c(C2=O)cccc1O)OC(C)(C)C	IPOKAA
CC(c1ccc(cc1)O)C	IPRPOL01
[O-]C(=O)C(C[NH3+])O	IPUMUC
FC(c1ccc2c(n1)c1nc(ccc1cc2)C(F)(F)F)(F)F	IPUPUE01
C(Cn1nncn1)CCn1nncn1	IQEJAP
Fc1c(F)c(F)c(c(c1F)F)C1=C(c2c(F)c(F)c(c(c2F)F)F)C(=C(C1=O)c1c(F)c(F)c(c(c1F)F)F)c1c(F)c(F)c(c(c1F)F)F.Fc1c(F)c(F)c(c(c1F)F)C1=C(c2c(F)c(F)c(c(c2F)F)F)C(=C(C1=O)c1c(F)c(F)c(c(c1F)F)F)c1c(F)c(F)c(c(c1F)F)F	IQETEE
CCOC(=O)c1ccnc(c1)c1nccc(c1)C(=O)OCC	IQOWUG
COc1cc(OC)ccc1C(=O)O	ISUQUI
COc1ccc(c(c1)C(=O)O)OC	ISURAP
O=C1c2ccc3c(c2OC2C1(O)c1cc4OCOc4cc1OC2)OCO3	ITEGET
CC(c1cc(cc(c1C(=O)O)C(C)C)C(C)C)C	ITEGEU
OC1c2ccc3c(c2OC2C1(O)c1cc4OCOc4cc1OC2)OCO3	ITEGIX
N#Cc1c(C#N)cccc1c1ccccc1	IVASEE
O=C1C2=C(C(=O)C3=C1C(C)(C)CC3(C)C)C(CC2(C)C)(C)C	IVIQIO
Cc1ccc(cc1)CNc1ncnc2c1nc[nH]2	IVOGOQ
O=C1C(=O)CCn2c(=O)n(c3c1cccc3)c(=O)c1c2cccc1	IWIGAX
CNC1CC2=C(C)C(=O)OC32CC2(C1(C)CCC2N3)C	IWOMEN
OCC1OC2C(C1O)OC(=N2)N	IWUGEM
OCC1OC2C(C1O)OC(=N2)N	IWUGIQ01
Cc1ccc(cc1C)N=C1c2ccccc2c2c1cccc2	IXATUW
CC(N1C(=O)c2c(C1=O)cccc2)C(=O)O	IZAMAX
OCC12COCOCC2(O)CC(O1)n1cc(C)c(=O)[nH]c1=O	IZUXAC
Fc1c(C#Cc2ccccc2)c(F)c(c(c1F)I)F	JALLEO
Fc1ccc2c(c1)CCC1C2CCc2c1ccc(c2)F	JAPYEF
CC1CCC2(C(C1)CC(=O)OC2(C)C)O	JASJET
COc1nc(OC)nc(n1)OC	JATFUF01
OCC(C1OC2C(C1O)OC1(O2)CCCCC1)O	JAVZIQ
COc1ccc(cc1)c1ncnc(c1)c1ncnc(c1)c1ccc(cc1)OC	JAWFOD
O=C1C(=Cc2ccccc2)N=C(N1c1ccccc1)c1ccccc1	JAXKAV
CCC	JAYDUI
CC(=O)c1ccc2c(c1O)cccc2	JEDZIC
COc1cccc(c1C(=O)C)O	JEDZOI
N#CC(C(N1CCOCC1)C(C)C)c1ccc2c(c1)OCO2	JEMPIB
OCC(C(C)C)N	JESTAD
CN1CCN(c2c1c(Br)c(F)c(c2Br)F)C	JIMTUV
O=C1OCC2OC(C1)C=C2	JINZAI
COC(=O)NNC(=O)OC	JIPFAQ
COCCOC(=O)C1=C(C)OC(=C(C1c1cccc2c1cccc2)C#N)N	JIRSIN
N#CC1=C(N)OC(=C(C1c1cccc2c1cccc2)C(=O)OC(C)C)C	JIRSOT
COC(=O)C1C(C)C(=O)C=C1c1ccco1	JISJAX
O=Cc1cc(Br)cc(c1N)Br	JISKEC
COc1ccc(c2c1C1C(=CCC3=C1C(=O)C=CC3=O)CC2)OC	JISXOZ
Clc1ccc2c(c1)c(Cl)nn2C	JODKOE
CN(C(=C(N(C)C)N(C)C)N(C)C)C	JOJWOU03
O=C(C1(C)C(=O)Nc2c1cccc2)Oc1ccccc1	JOKKUQ
COC(=O)C1(c2ccccc2)c2ccccc2N(C1=O)Cc1ccccc1	JOKLEB
N#Cc1c(F)c(C#N)c(c(c1F)F)F.N#Cc1c(F)c(C#N)c(c(c1F)F)F	JUBKIA01
O=C1C=CC2(C(O1)CC(=O)C2)C	JULFUR
COC(=O)C1CC(NC(=O)N1)C(=O)OC	JULRIR01
O=N(=O)c1cc(N(=O)=O)c(c(c1C(F)(F)F)N(=O)=O)N	JUPRUH
O=N(=O)c1cc(N(=O)=O)c(c(c1N)N(=O)=O)Br	JUPSOC
COC1OC(C(C1O)O)CO	JUQSOD
FC1CCOC(C1)c1ccc(cc1)N(=O)=O.FC1CCOC(C1)c1ccc(cc1)N(=O)=O.FC1CCOC(C1)c1ccc(cc1)N(=O)=O	KADGON
c1cc2cccc3c2c(c1)c1cc2cccc4c2c(c1c3)ccc4	KAGGEG
Brc1ccc(cc1)c1sccc1N(=O)=O	KAKMIU
OC12CC=CCC2(O)CC2(C(C1)(O)CC=CC2)O	KARCOW
CCOC(=O)C(C(=O)c1ccccc1)CC(=O)Nc1ccccc1	KAWPAA
COc1ccc(cc1)c1oc2cc(OC)cc(c2c(=O)c1OC)O	KAYSAE01
C=C(C(=C)C1OCC(C=C1)OC(=O)C)C1OCC(C=C1)OC(=O)C	KEBFIH
ON1CCCCC1C(=Nc1c(cccc1C(C)C)C(C)C)C	KEDKAG01
CC1C(=O)OC2C1C1CCC(=O)N1CCC2	KEGYIF
O=C(c1ccc[nH]1)c1ccccn1	KELDUB
Fc1c(c2csc(n2)c2scc(n2)c2c(F)c(F)c(c(c2F)F)F)c(F)c(c(c1F)F)F	KETVUC
COC1=NC(=C(c2ccc[nH]2)c2ccc(cc2)C#N)C=C1	KEYJUU
O=C1CCc2c1c(C)c(c(c2)C)Br	KICKAK
COc1ccccc1C=C1CCC(=C1)c1ccccc1	KIDTIB
C=CC1C(CC)NC(=O)N1C(C)(C)C	KIHDAH
CCC(=CC(=O)c1ccccc1)Nc1ccccc1O	KIJPEZ
FC(c1nc2ccc3c4c2c(n1)c1c(c4nc(n3)C(F)(F)F)c(oc1C(F)(F)F)C(F)(F)F)(F)F	KILSAB
FC(c1nc2c3c(n1)c1c(c4c3c(c3c2n2ccccc2c3C(F)(F)F)nc(n4)C(F)(F)F)c(oc1C(F)(F)F)C(F)(F)F)(F)F	KILSOP
FC(c1ccc(c(c1)C#Cc1cc(ccc1O)C(F)(F)F)O)(F)F	KIPLOM
Brc1c(Br)csc1Br.Brc1c(Br)csc1Br	KIXDOL
Brc1cc(Br)c2c(c1)C(C)(C)C(=N2)C	KOFRII
COc1ccc(c(c1)O)C(=Nc1ccccc1NC(=O)C)c1ccccc1	KOFVAD
O=Cc1coc2c(c1=O)ccc(c2)Cl	KOJCIX
c1cnc2c(c1)nn1c2nccc1	KOJGUM
Cc1cc2oc(c(c2cc1C)c1ccccc1)c1ccccc1	KOKRUY
O=N(=O)c1nc[nH]c1	KOMHAV01
O=C1OCC2=C1CCC1(C2CC2C3(C41OC4C1OC1(C3=O)C(C)C)O2)C	KORVES02
O=C1N(C(=O)c2c3c1cc(Cl)c1c3c(c(c2)Cl)c2c3c1c(Cl)cc1c3c(cc2Cl)C(=O)N(C1=O)c1c(F)c(F)c(c(c1F)F)F)c1c(F)c(F)c(c(c1F)F)F	KUCGUL
O=CC1=C(Br)c2cc(F)ccc2CCC1	KUDSEI
OCC1CCCC21CCCC(N2O)CC(c1ccccc1)O	KUKFUS
Fc1cc(F)c(cc1N(=O)=O)N(=O)=O	KUMSOA
Nc1ccc(c(c1)Cl)F	KUMTER
C#Nc1c(F)c(F)c(c(c1F)F)F	KUMXOF
Brc1ccc(cc1)C1=Nc2c(CC1)c(nn2c1ccccc1)C	KUQZIG
Cc1nc(c(o1)CC1(O)C(=O)N(C)C(=O)c2c1cccc2)C	KUSHUC
Oc1ccccc1C=Nc1onc(c1C)C	KUSTAU
CNc1ccncc1	KUTBOR
Clc1ccc(c(c1)Cl)c1noc(n1)c1ccccc1	KUTGUC
Brc1ccc(cc1)c1cc(=O)c2c(o1)ccc(c2)C	KUVDEL
CCC(=O)N1N=C(N=NC1C)c1ccc(cc1)OC	KUVDOV
Cc1ccc2c(n1)c(O)c(cc2Cl)Cl	KUVQEY
Ic1cccc2c1cc1c(c2)cccc1I	KUZFAN
Clc1ccc(cc1)n1[nH]c(c(c1=O)c1cc(nn1c1ccc(cc1)Cl)C)C.Clc1ccc(cc1)n1[nH]c(c(c1=O)c1cc(nn1c1ccc(cc1)Cl)C)C	KUZPIF
OC(=O)CC1CCC(=O)CC1	KUZQIG
CC(N1C(=NC(C)C)N(C1=NC(C)C)C(C)C)C	LADKUY
Fc1c(C#Cc2ccncc2)c(F)c(c(c1F)F)F	LAHBOM
OCC1OC2C(C1O)OC(=N2)N	LAKDOR
COc1ccc(c(c1)O)C(=O)C	LAMNAP01
C#Cn1c2ccccc2c2c1cccc2.C#Cn1c2ccccc2c2c1cccc2	LAQBEM
COC(=O)C(=O)NC(=O)C	LAQSIG
COC(=O)C(NC(=O)C)(O)C	LAQSOM
O=C1C2CC(C2)C#CC2CC(C(=O)c3c1cccc3)C2	LAQXUX
CCOC(=O)CC1CCCC1(NC(c1ccccc1)C)C(=O)N	LEBNUC
Clc1cnc2c(c1)nc(nc2c1ccccc1)Cl	LEBSAO
O=C1CCc2c(O1)c(C)c(c(c2)O)C	LEDXID
CC(=O)ON=C(c1nc[nH]c1)N(=O)=O	LEFFEI
O=Cc1cccc(c1O)Br	LEFZAZ
O=C1C=CC(=O)C=C1c1ccc(cc1)Cl	LEJDEL
O=C1C=CC(=O)C(=C1)c1ccc(c(c1)Cl)Cl	LEJDIP
Clc1ccc(cc1)C1=C(Cl)C(=O)C=C(C1=O)Cl	LEJDOV
CC(=O)OC1C(CC=CC1OC(=O)C)NC(=O)OC(C)(C)C	LEMFUF
COC1(OC)N(c2c(C)n(c3c2cccc3)C)C(=O)C1(OC)OC	LEMKEU
COc1ccc(c(c1)OC)N1C(=O)C(C1(OC)OC)(OC)OC	LEMKIY
O=c1ccc2c(o1)ccc1c2c2c(cc1)ccc1c2cccc1	LEQLEZ
Brc1ccccc1C1c2cccc(c2C2=C1Cc1c2cccc1Br)Br	LETWEO
CCOC(=O)c1c2c3ccccc3ccn2c2c1C(=O)c1ccccc1C2=O	LIBZUS
Fc1c(C#Cc2ccc(s2)C#Cc2c(F)c(F)c(c(c2F)F)F)c(F)c(c(c1F)F)F	LIDHOW
CCc1ccc(cc1)C(=C=C=C=C=C(c1ccc(cc1)CC)c1ccc(cc1)CC)c1ccc(cc1)CC	LIJGIV
O=C1CN(N(C1)C(=O)C)C(=O)C	LILLAU
C1CN2C3N1CCN3CC2	LINMOK
Clc1ncc(c(c1)c1c(Br)cnc(c1c1ccccc1)Cl)Br	LIQWEP
Clc1ncc(c(c1)c1c(Br)cnc(c1C#Cc1ccccc1)Cl)Br.Clc1ncc(c(c1)c1c(Br)cnc(c1C#Cc1ccccc1)Cl)Br	LIQWOZ
Ic1ccccc1c1ccc(cc1)c1ccccc1I	LITBIA
O=C(Cn1ccnc1N(=O)=O)NCc1ccccc1	LIVWET
N#Cc1ccc(c(c1)C(=O)C)O	LIWFUT
Brc1ccc(cc1)c1cc(nnc1c1ccccn1)c1ccccn1	LIYZAV
O=N(=O)c1cc2Cc3c(c2c2c1cccc2)c1ccccc1cc3	LIZBUS
Brc1cccc(n1)c1cccc(n1)c1c2ccccc2cc2c1cccc2	LOBLEV
Clc1ccc(c2c1COC2)Cl	LOCBEM
Clc1ccc(cc1)C#Cc1ccc(cc1)Cl	LOCPUQ
OC(=O)CCNc1ccccc1C(=O)C	LOHTAE
c1ccc(cc1)c1ccc(cc1)C=NN=Cc1ccc(cc1)c1ccccc1	LOJFEW
Brc1cccc2c1c(ccc2)c1cncc2c1cccc2	LOPDAX
[O-]C(=O)C([NH3+])CO	LSERIN20
[O-]C(=O)C([NH3+])C(O)C	LTHREO03
CC(OC12C=NOc3c2c(C=CC1=O)ccc3)C	LUDJOK
OC1(c2ccccc2)c2ccccc2C2=C1c1ccccc1C2(O)c1ccccc1	LUDLIG
C=CCC(C(C(C)C)OC(=O)c1ccc(cc1)N(=O)=O)(C(=O)OC)C	LUDMAZ
c1ccc2c(c1)c1cc3c4cc1c1c(c5c2cc(c(c5)c2c4cccc2)c2c3cccc2)cccc1	LUGJEC
O=C1c2ccccc2C(N1C)(O)C(c1ccccc1)C	LUMKEK
COc1cc2c(cc1OC)c(C)c1c(c2C)cc(c(c1)OC)OC	LUMLAH
O=C1NCC2C(c3c1cccc3)(O)C1C32CC2CC1CC(C3)C2	LUQSIA
Fc1c(c2ccccn2)c(F)c(c(c1F)F)F	LURSAS
Fc1cc(F)c(c(c1)F)c1ccccn1	LURSEW
COc1ccc2c(c1)CCC1C2=CCC2(C1CCC2OC(=O)C12CCC(C2(C)C)(C(=O)O1)C)C(=O)OC(C)(C)C	LUSGIQ
O=C1C=CC2(C(C1)C(O)C1=CCC(C1(CC2)C)C(C)C)C	LUSJIS
N#CC1(C)N=C(c2ccccc2)c2c(N(C1=O)C)c(C)cc(c2)C	LUTGAJ
Brc1c2c(cc3c1C1(CC3(C)C)c3ccccc3c3c1cccc3)C(CC12c2ccccc2c2c1cccc2)(C)C	LUTMIX
O=C1C2(O)CCC(C1(C)C)C2	LUVCOU
O=N(=O)N(c1nnnn1C)CN(N(=O)=O)C	LUVNIA
O=C1N(C)c2c(C1=O)c(Cl)c(cc2)N(=O)=O	LUVRAW
c1coc(c1)c1ccc(o1)c1ccc(o1)c1ccc(o1)c1ccc(o1)c1ccco1	LUVYIL
c1coc(c1)c1ccc(o1)c1ccc(o1)c1ccco1	LUVYOR
COc1ccc(cc1)n1nc(c2c1c1ccccc1C2c1ccccc1)C	LUWQOK
Clc1ccc(cc1)c1c(cc(cc1c1ccccc1)c1ccccc1)c1ccccc1.Clc1ccc(cc1)c1c(cc(cc1c1ccccc1)c1ccccc1)c1ccccc1	MACRIT
COC(=N)c1ccc(cc1)C#C	MAJDOR
O1CC1C(c1ccccc1)(c1ccccc1)c1ccccc1	MALQIZ
Clc1ccc2c(c1)c(=O)c1c([nH]2)cc2c(c1)[nH]c1c(c2=O)cc(cc1)Cl	MAMGUD
O=c1c2ccc3c4c2c(c2n1c1ccccc1n2)ccc4c1c2c3ccc3c2c(cc1)c(=O)n1c3nc2c1cccc2	MAMHEO
Nc1cccc(c1)O	MAMPOL02
CC(=O)OCC1OC2C(OC(=O)C)C(OC(=O)C)CN(C2C(C1OC(=O)C)OC(=O)C)C(=O)OC(C)(C)C	MANJIV
Cc1c(N)cccc1O	MATBAL
Oc1ccc2c(c1)c(N)ccc2	MATCEQ
C1CC2OC1C1C2C2OC1C=C2	MAYXEP
